Index,Make,Model,City Mpg For Fuel Type1,Co2 Fuel Type1,Cylinders,Drive,Annual Fuel Cost For Fuel Type1,Fuel Type,Transmission,Vehicle Size Class,Year,ATV Type,Electric motor,baseModel,Price,cluster_label
0,Chevrolet,Silverado 4WD,18,468,4,4-Wheel Drive,3050,Regular,Automatic 8-spd,Standard Pickup Trucks 4WD,2024,Petrol,Not Electric,Silverado,"$43,487",3
1,Alfa Romeo,Stelvio AWD,22,364,4,All-Wheel Drive,3000,Premium,Automatic 8-spd,Small Sport Utility Vehicle 4WD,2024,Petrol,Not Electric,Stelvio,"$47,545",3
2,BMW,Z4 sDrive30i,25,312,4,Rear-Wheel Drive,2550,Premium,Automatic (S8),Two Seaters,2024,Petrol,Not Electric,Z4,"$56,977",1
3,Genesis,G80 AWD,22,361,4,All-Wheel Drive,2850,Premium,Automatic (S8),Large Cars,2024,Petrol,Not Electric,G80,"$55,650",1
4,BMW,X4 xDrive30i,21,369,4,All-Wheel Drive,3000,Premium,Automatic (S8),Small Sport Utility Vehicle 4WD,2024,Petrol,Not Electric,X4,"$55,000",1
5,Hyundai,Palisade AWD,19,420,6,All-Wheel Drive,2750,Regular,Automatic (S8),Small Sport Utility Vehicle 4WD,2024,Petrol,Not Electric,Palisade,"$38,468",1
6,Hyundai,Tucson Hybrid,37,245,4,All-Wheel Drive,1550,Regular,Automatic (AM-S6),Small Sport Utility Vehicle 4WD,2024,Hybrid,270V Li-Ion,Tucson,"$33,950",0
7,Maserati,Grecale GT,22,351,4,All-Wheel Drive,2850,Premium,Automatic 8-spd,Small Sport Utility Vehicle 4WD,2024,Hybrid,48V Li-Ion,Grecale,"$69,995",3
8,Toyota,GR Supra,19,411,6,Rear-Wheel Drive,3400,Premium,Manual 6-spd,Two Seaters,2024,Petrol,Not Electric,GR Supra,"$47,535",1
9,Mitsubishi,Mirage G4,35,236,3,Front-Wheel Drive,1550,Regular,Automatic (variable gear ratios),Compact Cars,2024,Petrol,Not Electric,Mirage,"$19,055",1
10,Cadillac,CT5 V,18,423,6,Rear-Wheel Drive,3400,Premium,Automatic (S10),Midsize Cars,2024,Petrol,Not Electric,CT5,"$94,890",1
11,Cadillac,CT5 AWD,22,358,4,All-Wheel Drive,2850,Premium,Automatic (S10),Midsize Cars,2024,Petrol,Not Electric,CT5,"$39,790",3
12,Mazda,3 5-Door 2WD,27,294,4,Front-Wheel Drive,1950,Regular,Automatic (S6),Midsize Cars,2024,Petrol,Not Electric,3,"$24,170",1
13,MINI,Cooper S Countryman,24,321,4,Front-Wheel Drive,2550,Premium,Automatic (AM-S7),Midsize Cars,2024,Petrol,Not Electric,Countryman,"$32,650",1
14,Chevrolet,Silverado Mud Terrain Tires 4WD,14,590,8,4-Wheel Drive,4800,Premium,Automatic 10-spd,Standard Pickup Trucks 4WD,2024,Petrol,Not Electric,Silverado,"$49,945",3
15,Mazda,CX-50 4WD,24,335,4,4-Wheel Drive,2150,Regular,Automatic (S6),Small Sport Utility Vehicle 4WD,2024,Petrol,Not Electric,CX-50,"$31,675",3
16,BMW,i5 eDrive40 Sedan (20 inch Wheels),99,0,0,Rear-Wheel Drive,700,Electricity,Automatic (A1),Compact Cars,2024,EV,250 kW EESM,i5,"$67,795",2
17,GMC,Hummer EV SUV MT Tires,55,0,0,All-Wheel Drive,1300,Electricity,Automatic (A1),Standard Sport Utility Vehicle 4WD,2024,EV,214 kW PMSM,Hummer EV,"$79,995",2
18,Porsche,718 Cayman GTS,19,418,6,Rear-Wheel Drive,3400,Premium,Automatic (AM-S7),Two Seaters,2024,Petrol,Not Electric,718,"$69,950",1
19,Chevrolet,Camaro,13,571,8,Rear-Wheel Drive,4500,Premium,Automatic (S10),Subcompact Cars,2024,Petrol,Not Electric,Camaro,"$32,842",1
20,Audi,A4 S line quattro,24,330,4,All-Wheel Drive,2650,Premium,Automatic (AM-S7),Compact Cars,2024,Hybrid,14V Li-Ion,A4,"$42,995",3
21,Jaguar,XF P300 AWD,21,372,4,All-Wheel Drive,3000,Premium,Automatic (S8),Midsize Cars,2024,Petrol,Not Electric,XF,"$51,075",1
22,Chevrolet,Silverado 2WD,17,470,4,Rear-Wheel Drive,3050,Regular,Automatic 8-spd,Standard Pickup Trucks 2WD,2024,Petrol,Not Electric,Silverado,"$43,487",3
23,Porsche,Macan S,17,466,6,All-Wheel Drive,3750,Premium,Automatic (AM-S7),Small Sport Utility Vehicle 4WD,2024,Petrol,Not Electric,Macan,"$62,550",3
24,Jeep,Grand Wagoneer L 4WD,14,537,6,All-Wheel Drive,4200,Premium,Automatic 8-spd,Standard Sport Utility Vehicle 4WD,2024,Petrol,Not Electric,Grand Wagoneer,"$93,945",3
25,Land Rover,Range Rover LWB MHEV,16,501,8,4-Wheel Drive,4000,Premium,Automatic (S8),Standard Sport Utility Vehicle 4WD,2024,Hybrid,48V Li-Ion,Range Rover,"$108,875",3
26,BMW,M440i xDrive Coupe,22,347,6,All-Wheel Drive,2850,Premium,Automatic (S8),Subcompact Cars,2024,Hybrid,44V Li-Ion,4 Series,"$69,970",3
27,BMW,M440i Coupe,24,329,6,Rear-Wheel Drive,2650,Premium,Automatic (S8),Subcompact Cars,2024,Hybrid,44V Li-Ion,4 Series,"$69,970",3
28,MINI,Cooper S Hardtop 4 door,23,330,4,Front-Wheel Drive,2650,Premium,Manual 6-spd,Subcompact Cars,2024,Petrol,Not Electric,Cooper,"$26,795",1
29,MINI,Cooper S Hardtop 2 door,23,330,4,Front-Wheel Drive,2650,Premium,Manual 6-spd,Subcompact Cars,2024,Petrol,Not Electric,Cooper,"$25,800",1
30,GMC,Terrain AWD,23,356,4,All-Wheel Drive,2350,Regular,Automatic 9-spd,Small Sport Utility Vehicle 4WD,2024,Petrol,Not Electric,Terrain,"$32,700",3
31,BMW,X5 sDrive40i,23,360,6,Rear-Wheel Drive,2850,Premium,Automatic (S8),Standard Sport Utility Vehicle 2WD,2024,Hybrid,44V Li-Ion,X5,"$68,932",3
32,Jaguar,F-Type R AWD Convertible,16,481,8,All-Wheel Drive,4000,Premium,Automatic (S8),Two Seaters,2024,Petrol,Not Electric,F-Type,"$79,175",1
33,BMW,M850i xDrive Gran Coupe,17,457,8,All-Wheel Drive,3750,Premium,Automatic (S8),Midsize Cars,2024,Petrol,Not Electric,8 Series,"$107,695",1
34,Hyundai,Tucson FWD,25,323,4,Front-Wheel Drive,2100,Regular,Automatic (S8),Small Sport Utility Vehicle 2WD,2024,Petrol,Not Electric,Tucson,"$27,628",1
35,Cadillac,XT5 AWD,18,424,6,All-Wheel Drive,2750,Regular,Automatic (S9),Small Sport Utility Vehicle 4WD,2024,Petrol,Not Electric,XT5,"$44,660",3
36,Volvo,XC90 B5 AWD,22,369,4,All-Wheel Drive,3000,Premium,Automatic (S8),Standard Sport Utility Vehicle 4WD,2024,Hybrid,46V Li-Ion,XC90,"$57,181",3
